instance,n_customers,k_lb,k_ub,capacity,total_demand
instance_0-triangle,15,1,15,750,750
instance_1-triangle,15,1,15,750,680
instance_10-triangle,30,2,30,750,1467
instance_11-triangle,30,2,30,750,1326
instance_12-triangle,30,3,30,750,1568
instance_13-triangle,30,2,30,750,1414
instance_14-triangle,30,3,30,750,1592
instance_15-triangle,30,2,30,750,1469
instance_16-triangle,30,2,30,750,1451
instance_17-triangle,30,3,30,750,1683
instance_18-triangle,30,2,30,750,1419
instance_19-triangle,30,2,30,750,1449
instance_2-triangle,15,1,15,750,713
instance_20-triangle,60,4,60,750,2957
instance_21-triangle,60,5,60,750,3054
instance_22-triangle,60,5,60,750,3046
instance_23-triangle,60,4,60,750,2985
instance_24-triangle,60,4,60,750,2982
instance_25-triangle,60,5,60,750,3043
instance_26-triangle,60,4,60,750,2925
instance_27-triangle,60,4,60,750,2622
instance_28-triangle,60,4,60,750,2894
instance_29-triangle,60,4,60,750,2865
instance_3-triangle,15,1,15,750,711
instance_30-triangle,120,8,120,750,5900
instance_31-triangle,120,9,120,750,6034
instance_32-triangle,120,9,120,750,6275
instance_33-triangle,120,8,120,750,5663
instance_34-triangle,120,8,120,750,5888
instance_35-triangle,120,8,120,750,5884
instance_36-triangle,119,8,119,750,5860
instance_37-triangle,120,8,120,750,5646
instance_38-triangle,120,8,120,750,5782
instance_39-triangle,120,8,120,750,5486
instance_4-triangle,15,2,15,750,846
instance_5-triangle,20,2,20,750,980
instance_6-triangle,20,2,20,750,1001
instance_7-triangle,20,2,20,750,969
instance_8-triangle,20,2,20,750,995
instance_9-triangle,20,2,20,750,1069
