instance,n_customers,k_lb,k_ub,ub,status,best_cost,best_db,time_s
instance_0-triangle,15,1,15,1000000,optimal,723,723.00,11
instance_1-triangle,15,1,15,1000000,optimal,704,704.00,10
instance_10-triangle,30,2,30,1000000,optimal,1195,1195.00,12
instance_11-triangle,30,2,30,1000000,optimal,1122,1122.00,13
instance_12-triangle,30,3,30,1000000,optimal,1173,1173.00,11
instance_13-triangle,30,2,30,1000000,optimal,988,988.00,15
instance_14-triangle,30,3,30,1000000,optimal,1072,1072.00,11
instance_15-triangle,30,2,30,1000000,optimal,1025,1025.00,11
instance_16-triangle,30,2,30,1000000,optimal,1130,1130.00,13
instance_17-triangle,30,3,30,1000000,optimal,1281,1281.00,11
instance_18-triangle,30,2,30,1000000,optimal,1123,1123.00,11
instance_19-triangle,30,2,30,1000000,optimal,1227,1227.00,12
instance_2-triangle,15,1,15,1000000,optimal,759,759.00,10
instance_20-triangle,60,4,60,1000000,optimal,1888,1888.00,23
instance_21-triangle,60,5,60,1000000,optimal,1627,1627.00,12
instance_22-triangle,60,5,60,1000000,optimal,1863,1863.00,26
instance_23-triangle,60,4,60,1000000,optimal,1890,1890.00,15
instance_24-triangle,60,4,60,1000000,optimal,1650,1650.00,14
instance_25-triangle,60,5,60,1000000,optimal,1850,1850.00,18
instance_26-triangle,60,4,60,1000000,optimal,1766,1766.00,12
instance_27-triangle,60,4,60,1000000,optimal,1631,1631.00,19
instance_28-triangle,60,4,60,1000000,optimal,1853,1853.00,21
instance_29-triangle,60,4,60,1000000,optimal,1965,1965.00,40
instance_3-triangle,15,1,15,1000000,optimal,728,728.00,10
instance_30-triangle,120,8,120,1000000,optimal,2530,2530.00,819
