instance,n_customers,capacity,k_ub,time_horizon,ub_used,status,best_cost,best_db,time_s
instance_0-triangle,15,750,15,720,1927.8,optimal,862.70,862.70,9
instance_1-triangle,15,750,15,720,2661.0,optimal,1191.80,1191.80,9
instance_10-triangle,30,750,30,720,5199.8,optimal,1789.00,1789.00,9
instance_11-triangle,30,750,30,720,4844.2,optimal,1606.10,1606.10,9
instance_12-triangle,30,750,30,720,4609.6,optimal,1744.90,1744.90,9
instance_13-triangle,30,750,30,720,4418.4,optimal,1678.20,1678.20,15
instance_14-triangle,30,750,30,720,5009.2,optimal,1887.60,1887.60,10
instance_15-triangle,30,750,30,720,4723.6,optimal,1655.60,1655.60,9
instance_16-triangle,30,750,30,720,5442.0,optimal,1917.30,1917.30,9
instance_17-triangle,30,750,30,720,5203.0,optimal,1718.80,1718.80,8
instance_18-triangle,30,750,30,720,4966.6,optimal,1565.30,1565.30,12
instance_19-triangle,30,750,30,720,4422.2,optimal,1360.50,1360.50,26
instance_2-triangle,15,750,15,720,1954.8,optimal,967.90,967.90,8
instance_20-triangle,60,750,60,720,9503.0,optimal,2652.50,2652.50,9
instance_21-triangle,60,750,60,720,9461.6,optimal,2307.50,2307.50,13
instance_22-triangle,60,750,60,720,11265.6,optimal,3014.30,3014.30,18
instance_23-triangle,60,750,60,720,11418.6,optimal,3036.20,3036.20,12
instance_24-triangle,60,750,60,720,9807.2,optimal,2718.30,2718.30,10
instance_25-triangle,60,750,60,720,11155.6,optimal,3003.80,3003.80,120
instance_26-triangle,60,750,60,720,10686.6,optimal,2815.40,2815.40,18
instance_27-triangle,60,750,60,720,9539.2,optimal,2485.20,2485.20,12
instance_28-triangle,60,750,60,720,11337.0,optimal,2833.30,2833.30,8
instance_29-triangle,60,750,60,720,11703.0,optimal,2947.70,2947.70,28
instance_3-triangle,15,750,15,720,2186.0,optimal,977.30,977.30,9
instance_30-triangle,120,750,120,720,19614.8,optimal,4180.00,4180.00,699
instance_31-triangle,120,750,120,720,5000,optimal,3982.00,3982.00,2903
instance_32-triangle,120,750,120,720,18414.4,timeout,,,3606
instance_33-triangle,120,750,120,720,20616.0,optimal,4181.80,4181.80,67
instance_34-triangle,120,750,120,720,18909.4,optimal,4112.80,4112.80,17
instance_35-triangle,120,750,120,720,22582.0,optimal,4136.60,4136.60,114
instance_36-triangle,119,750,119,720,20563.8,optimal,4411.00,4411.00,77
instance_37-triangle,120,750,120,720,21426.2,optimal,4145.50,4145.50,305
instance_38-triangle,120,750,120,720,22193.0,optimal,4453.60,4453.60,1457
instance_39-triangle,120,750,120,720,19914.0,optimal,3970.70,3970.70,66
instance_4-triangle,15,750,15,720,3015.8,optimal,1427.70,1427.70,7
instance_5-triangle,20,750,20,720,3200.0,optimal,1288.80,1288.80,8
instance_6-triangle,20,750,20,720,2994.0,optimal,1057.60,1057.60,9
instance_7-triangle,20,750,20,720,3822.6,optimal,1270.90,1270.90,8
instance_8-triangle,20,750,20,720,3035.2,optimal,1260.10,1260.10,8
instance_9-triangle,20,750,20,720,3100.6,optimal,1133.00,1133.00,8
