instance_8-triangle

VEHICLE
NUMBER     CAPACITY
  20         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      82         28          60         408          609          0
    2      34         -65          62         320          429          0
    3      -78         -1          74         451          599          0
    4      -55         -162          36         0          720          0
    5      21         -44          55         52          170          0
    6      -47         43          45         465          551          0
    7      74         94          30         0          148          0
    8      -41         -16          32         638          720          0
    9      80         118          63         392          491          0
    10      -1         3          55         678          720          0
    11      -63         55          18         578          720          0
    12      -19         -8          46         583          720          0
    13      -18         -14          45         454          568          0
    14      -14         19          44         0          195          0
    15      54         -78          82         241          487          0
    16      58         -61          43         231          234          0
    17      40         -77          58         0          720          0
    18      40         144          43         514          566          0
    19      61         72          43         0          720          0
    20      27         -4          61         0          720          0
