instance,n_customers,capacity,k_ub,time_horizon,ub_trivial,n_relaxed
instance_0-triangle,15,750,15,720,1927.8,0
instance_1-triangle,15,750,15,720,2661.0,0
instance_10-triangle,30,750,30,720,5199.8,0
instance_11-triangle,30,750,30,720,4844.2,0
instance_12-triangle,30,750,30,720,4609.6,0
instance_13-triangle,30,750,30,720,4418.4,0
instance_14-triangle,30,750,30,720,5009.2,0
instance_15-triangle,30,750,30,720,4723.6,0
instance_16-triangle,30,750,30,720,5442.0,0
instance_17-triangle,30,750,30,720,5203.0,0
instance_18-triangle,30,750,30,720,4966.6,0
instance_19-triangle,30,750,30,720,4422.2,0
instance_2-triangle,15,750,15,720,1954.8,0
instance_20-triangle,60,750,60,720,9503.0,0
instance_21-triangle,60,750,60,720,9461.6,0
instance_22-triangle,60,750,60,720,11265.6,0
instance_23-triangle,60,750,60,720,11418.6,0
instance_24-triangle,60,750,60,720,9807.2,0
instance_25-triangle,60,750,60,720,11155.6,0
instance_26-triangle,60,750,60,720,10686.6,0
instance_27-triangle,60,750,60,720,9539.2,0
instance_28-triangle,60,750,60,720,11337.0,0
instance_29-triangle,60,750,60,720,11703.0,0
instance_3-triangle,15,750,15,720,2186.0,0
instance_30-triangle,120,750,120,720,19614.8,0
instance_31-triangle,120,750,120,720,20535.4,0
instance_32-triangle,120,750,120,720,18414.4,0
instance_33-triangle,120,750,120,720,20616.0,0
instance_34-triangle,120,750,120,720,18909.4,0
instance_35-triangle,120,750,120,720,22582.0,0
instance_36-triangle,119,750,119,720,20563.8,0
instance_37-triangle,120,750,120,720,21426.2,0
instance_38-triangle,120,750,120,720,22193.0,0
instance_39-triangle,120,750,120,720,19914.0,0
instance_4-triangle,15,750,15,720,3015.8,0
instance_5-triangle,20,750,20,720,3200.0,0
instance_6-triangle,20,750,20,720,2994.0,0
instance_7-triangle,20,750,20,720,3822.6,0
instance_8-triangle,20,750,20,720,3035.2,0
instance_9-triangle,20,750,20,720,3100.6,0
