instance_38-triangle

VEHICLE
NUMBER     CAPACITY
  120         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      -44         -113          53         23          199          0
    2      108         3          55         0          222          0
    3      17         -7          51         0          270          0
    4      -30         80          46         0          720          0
    5      -11         -140          51         258          386          0
    6      -13         40          27         608          720          0
    7      -11         26          38         0          46          0
    8      -63         56          71         553          720          0
    9      -80         114          32         124          436          0
    10      21         58          46         336          345          0
    11      -11         100          55         239          255          0
    12      -90         29          77         490          720          0
    13      92         -30          69         579          720          0
    14      47         -25          58         492          549          0
    15      -30         107          59         457          504          0
    16      14         75          39         510          720          0
    17      88         120          53         510          720          0
    18      -55         -117          60         177          199          0
    19      -51         18          38         0          720          0
    20      205         3          40         182          239          0
    21      -66         81          58         559          720          0
    22      -27         -22          52         0          720          0
    23      30         -48          66         129          230          0
    24      -40         28          46         0          157          0
    25      137         80          49         0          720          0
    26      23         172          64         0          198          0
    27      -94         -63          38         0          187          0
    28      131         -89          29         0          720          0
    29      -83         -96          50         554          641          0
    30      -26         86          60         400          720          0
    31      99         -48          40         0          326          0
    32      137         -13          52         0          720          0
    33      -54         -28          48         0          720          0
    34      -17         -37          30         647          720          0
    35      -88         -18          51         591          720          0
    36      -74         16          51         0          720          0
    37      -20         -9          70         0          720          0
    38      -101         -147          41         0          520          0
    39      7         25          55         0          720          0
    40      -111         67          35         0          720          0
    41      -1         -33          40         501          606          0
    42      -22         -16          34         0          138          0
    43      8         -21          38         0          720          0
    44      -42         -138          38         0          720          0
    45      20         -136          71         555          720          0
    46      26         -25          52         649          720          0
    47      2         102          69         469          652          0
    48      203         -21          36         489          519          0
    49      -33         32          65         442          509          0
    50      3         -5          56         0          720          0
    51      -1         76          54         0          720          0
    52      113         -24          58         529          720          0
    53      114         9          81         178          182          0
    54      -72         92          66         374          432          0
    55      5         119          52         468          475          0
    56      136         84          49         546          585          0
    57      -17         131          38         372          720          0
    58      66         33          30         592          720          0
    59      -69         -61          26         174          242          0
    60      -8         -38          30         0          720          0
    61      9         -37          30         612          720          0
    62      113         -9          47         387          455          0
    63      -15         73          36         601          720          0
    64      11         14          47         435          720          0
    65      66         -101          23         250          340          0
    66      -49         15          50         0          720          0
    67      -5         23          21         556          720          0
    68      -68         103          62         0          720          0
    69      -77         68          44         0          720          0
    70      81         -121          46         525          720          0
    71      -46         37          44         223          720          0
    72      5         170          63         279          410          0
    73      -70         -125          44         252          545          0
    74      110         53          50         283          310          0
    75      61         112          38         485          720          0
    76      0         0          29         679          720          0
    77      -29         -11          55         503          720          0
    78      -1         -86          60         446          514          0
    79      134         -107          19         384          720          0
    80      62         -42          33         80          193          0
    81      -18         79          69         124          280          0
    82      -50         -58          40         537          720          0
    83      -73         -8          30         0          720          0
    84      55         58          89         530          720          0
    85      -2         83          60         163          328          0
    86      -82         -153          70         0          720          0
    87      48         -57          47         0          720          0
    88      -52         -159          26         0          720          0
    89      18         91          52         575          720          0
    90      -131         96          63         0          720          0
    91      102         105          46         161          431          0
    92      36         -60          49         345          456          0
    93      -43         16          27         645          720          0
    94      154         -80          22         225          416          0
    95      17         86          36         557          720          0
    96      -100         -42          61         514          720          0
    97      -22         140          54         0          720          0
    98      14         19          47         620          720          0
    99      -152         15          22         325          354          0
    100      112         27          60         0          720          0
    101      -3         40          45         661          720          0
    102      49         14          45         551          720          0
    103      -33         50          37         0          720          0
    104      0         0          41         0          720          0
    105      -40         -8          51         106          161          0
    106      -89         23          55         395          475          0
    107      52         60          43         279          393          0
    108      14         -128          48         588          720          0
    109      2         -15          46         418          720          0
    110      -3         -11          39         0          720          0
    111      -60         -121          69         401          468          0
    112      -58         -156          69         51          720          0
    113      -7         108          56         91          161          0
    114      150         -52          21         0          720          0
    115      6         -30          56         80          103          0
    116      -43         68          42         0          720          0
    117      93         -19          63         614          720          0
    118      -7         5          49         188          282          0
    119      77         115          59         310          720          0
    120      91         51          51         312          495          0
