instance,status,lp_bound,mip_obj,vehicles,columns,iterations,time_s,error
instance_0-triangle,OPTIMAL,3538.0,3538.0,15,15,1,3.74,
instance_1-triangle,OPTIMAL,4436.0,4436.0,15,15,1,0.24,
instance_10-triangle,OPTIMAL,9284.0,9284.0,30,30,1,0.14,
instance_11-triangle,OPTIMAL,8286.0,8286.0,30,30,1,0.07,
instance_12-triangle,OPTIMAL,7624.0,7624.0,29,31,1,0.12,
instance_13-triangle,OPTIMAL,6860.0,6860.0,30,30,1,0.07,
instance_14-triangle,OPTIMAL,8245.0,8245.0,28,34,1,0.37,
instance_15-triangle,OPTIMAL,8516.0,8516.0,30,30,1,0.07,
instance_16-triangle,OPTIMAL,8530.0,8530.0,30,30,1,0.18,
instance_17-triangle,OPTIMAL,9397.0,9397.0,28,34,1,0.07,
instance_18-triangle,OPTIMAL,9030.0,9030.0,30,30,1,0.13,
instance_19-triangle,OPTIMAL,8050.0,8050.0,30,30,1,0.04,
instance_2-triangle,OPTIMAL,3602.0,3602.0,15,15,1,0.05,
instance_20-triangle,OPTIMAL,17926.0,17926.0,60,60,1,0.44,
instance_21-triangle,OPTIMAL,16740.0,16740.0,60,60,1,0.3,
instance_22-triangle,OPTIMAL,18410.0,18410.0,58,64,1,0.37,
instance_23-triangle,OPTIMAL,19676.0,19676.0,59,61,1,0.5,
instance_24-triangle,OPTIMAL,16410.0,16410.0,60,60,1,0.43,
instance_25-triangle,OPTIMAL,21022.0,21022.0,59,61,1,0.39,
instance_26-triangle,OPTIMAL,19392.0,19392.0,60,60,1,0.29,
instance_27-triangle,OPTIMAL,16540.0,16540.0,53,62,1,0.26,
instance_28-triangle,OPTIMAL,19672.0,19672.0,60,60,1,0.36,
instance_29-triangle,OPTIMAL,20728.0,20728.0,60,60,1,0.68,
instance_3-triangle,OPTIMAL,3672.0,3672.0,15,15,1,0.05,
instance_30-triangle,OPTIMAL,32546.0,32546.0,120,120,1,0.94,
instance_31-triangle,OPTIMAL,35910.0,35910.0,119,121,1,1.45,
instance_32-triangle,OPTIMAL,31569.0,31569.0,112,122,1,1.27,
instance_33-triangle,OPTIMAL,34550.0,34550.0,110,121,1,0.97,
instance_34-triangle,OPTIMAL,32211.0,32211.0,109,122,1,3.08,
instance_35-triangle,OPTIMAL,40522.0,40522.0,109,125,1,1.89,
instance_36-triangle,OPTIMAL,35712.0,35712.0,120,120,1,2.11,
instance_37-triangle,OPTIMAL,37210.0,37210.0,113,126,1,1.1,
instance_38-triangle,OPTIMAL,37252.0,37252.0,117,125,1,0.75,
instance_39-triangle,OPTIMAL,34348.0,34348.0,114,122,1,0.97,
instance_4-triangle,OPTIMAL,5806.0,5806.0,15,16,1,0.04,
instance_5-triangle,OPTIMAL,4875.0,4875.0,15,24,1,0.03,
instance_6-triangle,OPTIMAL,5510.0,5510.0,20,20,1,0.21,
instance_7-triangle,OPTIMAL,5636.0,5636.0,16,25,1,0.07,
instance_8-triangle,OPTIMAL,5270.0,5270.0,20,20,1,0.06,
instance_9-triangle,OPTIMAL,6034.0,6034.0,20,20,1,0.19,
