instance,status,lp_bound,mip_obj,vehicles,columns,iterations,time_s,error
instance_0-triangle,OPTIMAL,3538.0,3538.0,15,15,1,3.68,
instance_1-triangle,OPTIMAL,3956.0,3956.0,12,18,1,0.09,
instance_10-triangle,OPTIMAL,9284.0,9284.0,30,30,1,0.09,
instance_11-triangle,OPTIMAL,8286.0,8286.0,30,30,1,0.13,
instance_12-triangle,OPTIMAL,7680.0,7680.0,30,30,1,-0.22,
instance_13-triangle,OPTIMAL,6860.0,6860.0,30,30,1,0.06,
instance_14-triangle,OPTIMAL,8276.0,8276.0,30,30,1,0.09,
instance_15-triangle,OPTIMAL,8516.0,8516.0,30,30,1,0.18,
instance_16-triangle,OPTIMAL,8530.0,8530.0,30,30,1,0.06,
instance_17-triangle,OPTIMAL,9566.0,9566.0,30,30,1,0.09,
instance_18-triangle,OPTIMAL,9030.0,9030.0,30,30,1,0.15,
instance_19-triangle,OPTIMAL,8050.0,8050.0,30,30,1,0.04,
instance_2-triangle,OPTIMAL,3602.0,3602.0,15,15,1,0.1,
instance_20-triangle,OPTIMAL,17926.0,17926.0,60,60,1,0.29,
instance_21-triangle,OPTIMAL,16740.0,16740.0,60,60,1,0.24,
instance_22-triangle,OPTIMAL,18448.0,18448.0,60,60,1,0.29,
instance_23-triangle,OPTIMAL,19708.0,19708.0,60,60,1,0.36,
instance_24-triangle,OPTIMAL,16410.0,16410.0,60,60,1,0.24,
instance_25-triangle,OPTIMAL,21024.0,21024.0,60,60,1,0.31,
instance_26-triangle,OPTIMAL,19392.0,19392.0,60,60,1,0.28,
instance_27-triangle,OPTIMAL,16796.0,16796.0,60,60,1,0.22,
instance_28-triangle,OPTIMAL,19672.0,19672.0,60,60,1,0.41,
instance_29-triangle,OPTIMAL,20728.0,20728.0,60,60,1,0.21,
instance_3-triangle,OPTIMAL,3672.0,3672.0,15,15,1,0.1,
instance_30-triangle,OPTIMAL,32546.0,32546.0,120,120,1,0.7,
instance_31-triangle,OPTIMAL,35922.0,35922.0,120,120,1,0.85,
instance_32-triangle,OPTIMAL,31674.0,31674.0,120,120,1,0.85,
instance_33-triangle,OPTIMAL,34872.0,34872.0,120,120,1,0.64,
instance_34-triangle,OPTIMAL,32764.0,32764.0,120,120,1,1.11,
instance_35-triangle,OPTIMAL,40716.0,40716.0,120,120,1,0.74,
instance_36-triangle,OPTIMAL,35712.0,35712.0,120,120,1,0.85,
instance_37-triangle,OPTIMAL,37358.0,37358.0,120,120,1,0.83,
instance_38-triangle,OPTIMAL,37252.0,37252.0,120,120,1,0.84,
instance_39-triangle,OPTIMAL,34426.0,34426.0,120,120,1,0.69,
instance_4-triangle,OPTIMAL,5806.0,5806.0,15,15,1,0.06,
instance_5-triangle,OPTIMAL,5754.0,5754.0,20,20,1,0.05,
instance_6-triangle,OPTIMAL,5510.0,5510.0,20,20,1,0.14,
instance_7-triangle,OPTIMAL,6002.0,6002.0,20,20,1,0.06,
instance_8-triangle,OPTIMAL,5270.0,5270.0,20,20,1,0.09,
instance_9-triangle,OPTIMAL,6034.0,6034.0,20,20,1,0.07,
